printed_name,accepted_name,group_name,source_page
Eucinostomus melanopterus,Eucinostomus melanopterus,Côtier S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276423"
Monodactylus sebae,Monodactylus sebae,Côtier S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 278304"
Pteroscion peli,Pteroscion peli,Côtier S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 282503"
Stromateus fiatola,Stromateus fiatola,Côtier S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127076"
Scorpaenoidae,Scorpaenidae,Côtier S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Pentanemus quinquarius,Pentanemus quinquarius,Capitaine royal,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 282202"
Abudefduf saxatilis,Abudefduf saxatilis,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159288"
Brachydeuterus auritus,Brachydeuterus auritus,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126943"
Dicologlossa cuneata,Dicologlossa cuneata,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127154"
Oblada melanura,Oblada melanurus,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127056"
Chromis chromis,Chromis chromis,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127000"
Gerres nigri,Gerres nigri,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276963"
Labrisomus nuchipinnis,Labrisomus nuchipinnis,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 281260"
Pegusa spp,Pegusa spp,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Trachinus spp,Trachinus spp,Côtier S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Cephalopholis taeniops,Cephalopholis taeniops,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 279154"
Epinephelus aeneus,Epinephelus aeneus,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127032"
Epinephelus fasciatus,Epinephelus fasciatus,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 218207"
Epinephelus goreensis,Epinephelus goreensis,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273854"
Epinephelus caninus,Epinephelus caninus,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127033"
Epinephelus marginatus,Epinephelus marginatus,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127036"
Merluccius polli,Merluccius polli,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 272457"
Merluccius senegalensis,Merluccius senegalensis,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126485"
Pagrus caeruleostictus,Pagrus caeruleostictus,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127062"
Pagrus pagrus,Pagrus pagrus,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127063"
Solitas gruveli,Solitas gruveli,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 282825"
Umbrina ronchus,Umbrina ronchus,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127013"
Zeus faber,Zeus faber,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127427"
Congridae,Congridae,Dem L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 125427"
Dactylopterus volitans,Dactylopterus volitans,Dem L inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127232"
Echeneis naucrates,Echeneis naucrates,Dem L inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126848"
Sparus auratus,Sparus aurata,Dem L inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127065"
Umbrina canariensis,Umbrina canariensis,Dem L inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127011"
Aulopus cadenati,Aulopus cadenati,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 272042"
Chelidonichthys lucerna,Chelidonichthys lucerna,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127262"
Dentex macrophthalmus,Dentex macrophthalmus,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273965"
Dentex maroccanus,Dentex maroccanus,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273966"
Lophiodes kempi,Lophiodes kempi,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 278529"
Priacanthus arenatus,Priacanthus arenatus,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127005"
Rypticus saponaceus,Rypticus saponaceus,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275963"
Scorpaena elongata,Scorpaena elongata,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127242"
Serranus cabrilla,Serranus cabrilla,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127041"
Sphoeroides pachygaster,Sphoeroides pachygaster,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127417"
Trachinocephalus myops,Trachinocephalus myops,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 158884"
Trachinus armatus,Trachinus armatus,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274003"
Zenopsis conchifer,Zenopsis conchifer,Dem M pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127426"
Mugil curema,Mugil curema,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159416"
Balistes carolinensis,Balistes capriscus,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127395"
Balistes punctatus,Balistes punctatus,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127396"
Balistes vetula,Balistes vetula,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127397"
Boops boops,Boops boops,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127047"
Chelidonichthys gabonensis,Chelidonichthys gabonensis,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274875"
Chelidonichthys lastoviza,Chelidonichthys lastoviza,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127261"
Pagellus bellottii,Pagellus bellottii,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127058"
Plectorhinchus mediterraneus,Plectorhinchus mediterraneus,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126946"
Pseudupeneus prayensis,Pseudupeneus prayensis,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126987"
Scarus hoefleri,Scarus hoefleri,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276050"
Xyrichtys novacula,Xyrichtys novacula,Dem M inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126971"
Antennarius pardalis,Antennarius pardalis,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 272540"
Apogon imberbis,Apogon imberbis,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273021"
Arnoglossus imperialis,Arnoglossus imperialis,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127124"
Bembrops heterurus,Bembrops heterurus,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 276578"
Chlorophthalmus agassizi,Chlorophthalmus agassizi,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126336"
Pontinus accraensis,Pontinus accraensis,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274681"
Solitas gruveli,Solitas gruveli,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 282825"
Uranoscopus polli,Uranoscopus polli,Dem S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 274043"
Antigonia capros,Antigonia capros,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127418"
Ariomma bondi,Ariomma bondi,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159592"
Chilomycterus spinosus,Chilomycterus spinosus,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 293565"
Chromis cadenati,Chromis cadenati,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 273715"
Sargocentron hastatus,Sargocentron hastatum,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126399"
Sphoeroides spengleri,Sphoeroides spengleri,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 158935"
Stephanolepis hispidus,Stephanolepis hispida,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127409"
Syacium micrurum,Syacium micrurum,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 158877"
Synchiropus phaeton,Synchiropus phaeton,Dem S inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126798"
Alepocephalus rostratus,Alepocephalus rostratus,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126684"
Bathysaurus ferox,Bathysaurus ferox,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126369"
Epigonus telescopus,Epigonus telescopus,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126858"
Gempylus serpens,Gempylus serpens,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126862"
Helicolenus dactylopterus dactylopterus,Helicolenus dactylopterus,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 236464"
Hoplostethus mediterraneus,Hoplostethus mediterraneus,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126404"
Lepidocybium flavobrunneum,Lepidocybium flavobrunneum,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126863"
Lophius vaillanti,Lophius vaillanti,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 272601"
Nemichthys scolopaceus,Nemichthys scolopaceus,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126306"
Polyprion americanus,Polyprion americanus,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126998"
Pontinus kuhlii,Pontinus kuhlii,Bathy L pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127240"
Aristostomias xenostoma,Aristostomias xenostoma,Bathy S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275008"
Astronesthes spp,Astronesthes spp,Bathy S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Chauliodus schmidti,Chauliodus schmidti,Bathy S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275058"
Eustomias spp,Eustomias spp,Bathy S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Sternoptyx spp,Sternoptyx spp,Bathy S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Stomias affinis,Stomias affinis,Bathy S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 158736"
Stomias lampropeltis,Stomias lampropeltis,Bathy S pred,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 275180"
Ariomma melanum,Ariomma melana,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 159593"
Bathygadus melanobranchus,Bathygadus melanobranchus,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126463"
Bathymicrops regis,Bathymicrops regis,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126341"
Bathypterois spp,Bathypterois spp,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Diretmichthys parini,Diretmichthys parini,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126396"
Nezumia spp,Nezumia spp,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Scopelosaurus lepidus,Scopelosaurus lepidus,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126349"
Serrivomer spp,Serrivomer spp,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Stomias longibarbatus,Stomias longibarbatus,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127376"
Trigla lyra,Trigla lyra,Bathy SM inv,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 127266"
Myctophidae divers,Myctophidae,Mésopélagiques,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Benthosema glaciale,Benthosema glaciale,Mésopélagiques,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded; accepted name WoRMS AphiaID 126580"
Cyclothone spp,Cyclothone spp,Mésopélagiques,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Diaphus spp,Diaphus spp,Mésopélagiques,"Guénette & Diallo 2004, Tableau 6, p.131 (PDF p.135); genus initials expanded"
Céphalopodes,Cephalopoda,Céphalopodes,"Guénette & Diallo 2004, p.125; octopus, cuttlefish and squid explicitly included"
