taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Scomber australasicus,Blue mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/Benthivores,,high,inherited_mapping,Genus of the exact Table S1 member S. japonicus.
Mytilus coruscus,Korean mussel,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Atrobucca nibe,Blackmouth croaker,Medium demersals (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,inherited_mapping,Exact species listed in Table S1 under this group.
Spratelloides gracilis,Silver-stripe round herring,Small pelagics (<30 cm),Herring-likes,Planktivores,,medium,inherited_mapping,"Small schooling zooplanktivorous pelagic (round herring / sandlance); not an explicit Table S1 member, but ecology and reported trophic level are consistent with this guild. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Ruvettus pretiosus,Oilfish,Large benthopelagics (>=90 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Oilfish (Gempylidae); ecologically similar to the explicit Table S1 Benthivores/piscivores member Rexea prometheoides, also a gempylid."
Lutjanidae,Snappers,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Snapper; active predator on fish and crustaceans, high trophic level (4.02-4.27) consistent with Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),Scorpionfishes,Benthivores/piscivores,,medium,inherited_mapping,"True rockfish; ambush predator on benthic invertebrates and fish, with a markedly higher trophic level (3.74-3.92) than the family's other explicit member Chelidonichthys kumu (Triglidae/Benthivores, a crustacean-specialist gurnard), supporting a more piscivorous mixed-diet placement."
Pleurogrammus azonus,Okhotsk atka mackerel,Medium demersals (30 - 89 cm),Scorpionfishes,Benthivores/piscivores,,medium,inherited_mapping,"Greenling; benthic feeder on invertebrates and small fish, trophic level (3.6-3.72) fits this guild; likely a cold-water species marginal to the core ECS shelf fauna."
Bathylagidae,Deepsea smelts,Small bathypelagics (<30 cm),"Salmon, smelts, etc",Unresolved,,unresolved,none,Deep-sea smelt (mesopelagic); not represented in this shelf-focused model's structure.
Clupeiformes,"Herrings, shads, anchovies",Small pelagics (<30 cm),Other fishes & inverts,Unresolved,,unresolved,none,Order-level taxon spanning multiple of the model's feeding-guild groups; too broad to place without further identification.
Mullidae,Goatfishes,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Goatfish; barbel-probing benthic-invertebrate feeder, ecologically a benthivore despite a slightly elevated reported trophic level (3.22-3.46)."
Chelidonichthys kumu,Bluefin gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,Benthivores,,high,inherited_mapping,Exact species listed in Table S1 under Benthivores.
Nibea mitsukurii,Honnibe croaker,Medium benthopelagics (30 - 89 cm),Perch-likes,Omnivores,,high,inherited_mapping,Congener of the exact Table S1 Omnivores member N. albiflora.
Saurida tumbil,Greater lizardfish,Medium demersals (30 - 89 cm),Other fishes & inverts,Piscivores,,high,inherited_mapping,"Exact species (Saurida tumbil) / its genus and family, listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Mugilidae,"Mullets, grey mullets",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Mullet; benthic/detritivorous grazer with a low reported trophic level (2.1-2.5), closest among the model's guilds to Benthivores (2.848-2.876) even though the match is not exact."
Coryphaena,Dolphinfishes,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,inherited_mapping,"Genus of the exact Table S1 Piscivores member C. hippurus. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Platycephalus indicus,Bartail flathead,Medium demersals (30 - 89 cm),Scorpionfishes,Piscivores,,medium,inherited_mapping,"Flathead; benthic ambush predator taking fish and crustaceans, trophic level (3.6) fits the Piscivores band well. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Mactridae,Mactra surf clams,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Muraenesocidae,Pike congers,Large demersals (>=90 cm),Other fishes & inverts,Piscivores,,high,inherited_mapping,"Exact species (Muraenesox cinereus) / its family, listed in Table S1 under Piscivores. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Squalidae,Dogfish sharks,Large sharks (>=90 cm),Sharks & rays,,,,,
Seriola lalandi,Yellowtail amberjack,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Portunidae,Swimming crabs,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,"Genus/family Portunus is explicitly represented in Table S1's Crabs membership (P. trituberculatus, P. sanguinolentus, P. argentatus), so congeners/family members are a direct taxonomic match."
Pagrus auratus,Silver seabream,Large demersals (>=90 cm),Perch-likes,Omnivores,,medium,inherited_mapping,"Sparid seabream; the family's explicit Table S1 member (Acanthopagrus schlegelii, Omnivores) is a generalist benthic-invertebrate/omnivorous feeder, and reported trophic levels (3.31-3.97) are broadly consistent with this guild, though not an exact species/genus match."
Thunnus obesus,Bigeye tuna,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Haemulidae,"Grunts, sweetlips, bonnetmouths",Medium demersals (30 - 89 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Grunt; primarily benthic-invertebrate feeder that also takes small fish, trophic level (3.36) fits this mixed-diet guild."
Gastropoda,Sea snails,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Holothuroidea,Sea cucumbers,Other demersal invertebrates,Other fishes & inverts,Echinoderms,,high,inherited_mapping,"Echinodermata; Table S1 lists Ophiuroidea as the group's example composition and Echinoderms is the model's only echinoderm group, so any echinoderm taxon is an unambiguous fit."
Penaeus japonicus,Kuruma prawn,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,"Penaeid shrimp; Table S1's Shrimps membership is dominated by Penaeidae/Dendrobranchiata genera (Solenocera, Parapenaeus, Metapenaeus, Parapenaeopsis, Metapenaeopsis), so this suborder/family is an unambiguous taxonomic fit."
Mytilidae,Sea mussels,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Penaeidae,Commercial shrimps and prawns,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,"Penaeid shrimp; Table S1's Shrimps membership is dominated by Penaeidae/Dendrobranchiata genera (Solenocera, Parapenaeus, Metapenaeus, Parapenaeopsis, Metapenaeopsis), so this suborder/family is an unambiguous taxonomic fit."
Trichiuridae,Cutlassfishes,Large benthopelagics (>=90 cm),Perch-likes,Hairtails,,high,inherited_mapping,"Family of the dedicated single-species group Trichiurus lepturus. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Parastromateus niger,Black pomfret,Medium benthopelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Exact species listed in Table S1 under this group.
Miichthys miiuy,Mi-iuy croaker,Medium demersals (30 - 89 cm),Perch-likes,Benthivores/piscivores,,high,inherited_mapping,Exact species listed in Table S1 under this group.
Nemopilema nomurai,Nomura jelly,Jellyfish,Other fishes & inverts,Other invertebrates,,high,inherited_mapping,"Cnidaria (scyphozoan jellyfish); Table S1 gives 'Cnidaria' as this group's composition and the 24-group model has no separate jellyfish/cnidarian group, so jellyfish taxa fall here unambiguously."
Decapterus,Scads,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Genus of the exact Table S1 member D. maruadsi.
Gadus chalcogrammus,Alaska pollock,Medium benthopelagics (30 - 89 cm),Cod-likes,Unresolved,,unresolved,none,Cod is not part of this model's 24-group structure and is not a characteristic East China Sea shelf species; likely marginal/incidental catch with no defensible group fit.
Branchiostegus japonicus,Horsehead tilefish,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Meretrix lusoria,Japanese hard clam,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Gadidae,"Cods, haddocks",Medium demersals (30 - 89 cm),Cod-likes,Unresolved,,unresolved,none,Cod is not part of this model's 24-group structure and is not a characteristic East China Sea shelf species; likely marginal/incidental catch with no defensible group fit.
Scomberomorus guttatus,Indo-Pacific king mackerel,Medium pelagics (30 - 89 cm),Perch-likes,Piscivores,,high,inherited_mapping,"Genus Scomberomorus has two exact species (S. niphonius, S. guttatus) in Table S1's Piscivores membership. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Tegillarca granosa,Granular ark,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Menidae,Moonfishes,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Family of the exact Table S1 member Mene maculata.
Scorpaenidae,"Scorpionfishes, rockfishes",Large reef assoc. fish (>=90 cm),Scorpionfishes,Benthivores/piscivores,,medium,inherited_mapping,"True rockfish; ambush predator on benthic invertebrates and fish, with a markedly higher trophic level (3.74-3.92) than the family's other explicit member Chelidonichthys kumu (Triglidae/Benthivores, a crustacean-specialist gurnard), supporting a more piscivorous mixed-diet placement."
Ommastrephidae,Arrow squids,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Veneridae,Venus clams,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Meretrix,Hard clams,Other demersal invertebrates,Molluscs,,,,,
Miscellaneous aquatic invertebrates,Aquatic invertebrates,Other demersal invertebrates,Other fishes & inverts,Unresolved,,unresolved,none,Aggregate Sea Around Us catch category with no taxonomic resolution; could span several of the model's invertebrate groups.
Ariidae,"Sea catfishes, coblers",Medium demersals (30 - 89 cm),Other fishes & inverts,Benthivores/piscivores,,medium,inherited_mapping,"Sea catfish; benthic predator taking both invertebrates and small fish, trophic level (3.48) fits the Benthivores/piscivores band well."
Mene maculata,Moonfish,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Exact species listed in Table S1 (as Mene maculate) under this group.
Acanthopagrus schlegelii,Blackhead seabream,Medium demersals (30 - 89 cm),Perch-likes,Omnivores,,high,inherited_mapping,Exact species listed in Table S1 under Omnivores.
Octopus,"Octopuses, pikas",Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Apostichopus japonicus,Japanese sea cucumber,Other demersal invertebrates,Other fishes & inverts,Echinoderms,,high,inherited_mapping,"Echinodermata; Table S1 lists Ophiuroidea as the group's example composition and Echinoderms is the model's only echinoderm group, so any echinoderm taxon is an unambiguous fit."
Arctoscopus japonicus,Japanese sandfish,Small bathydemersals (<30 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Sailfin sandfish; benthic ambush predator on small crustaceans and fish, trophic level (3.51) fits this guild; a cold-water species likely marginal to the ECS."
Batoidea,"Batoids, skates, rays, sawfishes",Large rays (>=90 cm),Sharks & rays,Unresolved,,unresolved,none,"Class/superorder spanning true sharks (-> Sharks) and rays/skates, which the model places by feeding ecology rather than taxonomy (see Narcine lingula, an explicit Benthivores member); too broad to place without finer identification."
Perciformes,Perch-likes,Medium demersals (30 - 89 cm),Perch-likes,Unresolved,,unresolved,none,Order-level taxon spanning multiple of the model's feeding-guild groups; too broad to place without further identification.
Ostreidae,True oysters,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Portunus,Swimmer crabs,"Lobsters, crabs",Crustaceans,Crabs,,high,inherited_mapping,"Genus/family Portunus is explicitly represented in Table S1's Crabs membership (P. trituberculatus, P. sanguinolentus, P. argentatus), so congeners/family members are a direct taxonomic match."
Penaeus penicillatus,Redtail prawn,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,"Penaeid shrimp; Table S1's Shrimps membership is dominated by Penaeidae/Dendrobranchiata genera (Solenocera, Parapenaeus, Metapenaeus, Parapenaeopsis, Metapenaeopsis), so this suborder/family is an unambiguous taxonomic fit."
Thunnus orientalis,Pacific bluefin tuna,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Liparis tanakae,Tanaka's snailfish,Medium demersals (30 - 89 cm),Scorpionfishes,Benthivores/piscivores,,medium,inherited_mapping,"Snailfish; benthic/demersal feeder on small invertebrates and fish, trophic level (3.42) fits this guild."
Trachurus,"Jacks, horse mackerels",Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Genus of the exact Table S1 member T. japonicus.
Hyporhamphus sajori,Japanese halfbeak,Medium pelagics (30 - 89 cm),Other fishes & inverts,Omnivores,,medium,inherited_mapping,"Halfbeak; mixed diet of zooplankton and filamentous algae/seagrass, trophic level (3.4) fits the Omnivores band well."
Kajikia audax,Striped marlin,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Clupea pallasii,Pacific herring,Medium pelagics (30 - 89 cm),Herring-likes,Planktivores,,medium,inherited_mapping,"Clupeidae filter-feeding planktivore; the family is split across guilds in this model (Sardinella aurita -> Planktivores vs. Ilisha elongata -> Omnivores), so genus-level ecological similarity to the Planktivores exemplar (obligate zooplankton filter-feeder) plus a lower reported trophic level (2.8-3.2, closer to Planktivores' 2.92-2.95 than Omnivores' 3.14-3.43) supports this placement over an exact taxonomic rule. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Sepia,Sepia cuttlefishes,Cephalopods,Other fishes & inverts,Cephalopods,,high,inherited_mapping,"Cephalopoda; Cephalopods is the model's only cephalopod group (Table S1: Abralia, Euprymna, Loligo, Sepiella, Ommastrephes bartrami, Sepia esculenta, Octopus ocellatus, Uroteuthis, Sepioteuthis, Argonauta), so any cephalopod taxon is an unambiguous fit. Ommastrephes bartramii is the accepted-name spelling of the explicitly listed O. bartrami."
Haliotidae,"Abalones, ear shells",Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Metapenaeus,Indo-Pacific prawns,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,Genus Metapenaeus has an exact species (M. joyneri) in Table S1's Shrimps membership.
Serranidae,"Basses, groupers, hinds",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Grouper; ambush piscivorous predator, and reported trophic level (3.84-4.16) sits within the Piscivores band (3.571-3.940), a close corroborating match. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),Flatfishes,Unresolved,,unresolved,none,Order-level taxon spanning multiple of the model's feeding-guild groups; too broad to place without further identification.
Scomberomorus commerson,Narrow-barred Spanish mackerel,Large pelagics (>=90 cm),Perch-likes,Piscivores,,high,inherited_mapping,"Genus Scomberomorus has two exact species (S. niphonius, S. guttatus) in Table S1's Piscivores membership. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Engraulidae,"Anchovies, round herrings",Small pelagics (<30 cm),Anchovies,Planktivores,,high,inherited_mapping,"Engraulidae; Table S1's Planktivores membership includes three Engraulidae genera (Thryssa x3, Stolephorus commersonnii), so this family is explicitly and repeatedly represented in the group's definition. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Metapenaeus joyneri,Shiba shrimp,Shrimps,Crustaceans,Shrimps,,high,inherited_mapping,Exact species listed in Table S1 under Shrimps.
Kyphosidae,"Sea chubs, knifefishes, niblers",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Omnivores,,medium,inherited_mapping,"Sea chub; algae/detritus grazer, ecologically closest among the model's guilds to Omnivores despite a much lower reported trophic level (2.19) than the group's band -- noted as a limitation."
Marine finfishes not identified,Finfishes,Medium demersals (30 - 89 cm),Other fishes & inverts,Unresolved,,unresolved,none,Aggregate Sea Around Us catch category with no taxonomic resolution; spans essentially the whole model's fish-guild structure.
Oplegnathus fasciatus,Barred knifejaw,Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Knifejaw; durophagous feeder on hard-shelled benthic invertebrates, occasionally small fish; trophic level (3.55) fits this mixed-diet guild better than the invertebrate-only Benthivores band."
Cardiidae,Cockles,Other demersal invertebrates,Molluscs,Mollusks,,high,inherited_mapping,"Mollusca (bivalve or gastropod) not in Cephalopoda; Table S1 lists 'Bivalves' as the group's example composition and Cephalopods is the model's only other molluscan-lineage group, so any remaining mollusc is an unambiguous taxonomic fit to Mollusks."
Lethrinidae,"Emperors, scavengers",Medium reef assoc. fish (30 - 89 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Emperor bream; mixed benthic-invertebrate/small-fish diet, trophic level (3.4-3.59) fits the Benthivores/piscivores band."
Chondrichthyes,"Sharks, rays, chimaeras",Large sharks (>=90 cm),Sharks & rays,Unresolved,,unresolved,none,"Class/superorder spanning true sharks (-> Sharks) and rays/skates, which the model places by feeding ecology rather than taxonomy (see Narcine lingula, an explicit Benthivores member); too broad to place without finer identification."
Parapristipoma trilineatum,Chicken grunt,Small pelagics (<30 cm),Perch-likes,,,,,
Evynnis tumifrons,Yellowback seabream,Medium demersals (30 - 89 cm),Perch-likes,Omnivores,,medium,inherited_mapping,"Sparid seabream; the family's explicit Table S1 member (Acanthopagrus schlegelii, Omnivores) is a generalist benthic-invertebrate/omnivorous feeder, and reported trophic levels (3.31-3.97) are broadly consistent with this guild, though not an exact species/genus match."
Scyllaridae,Slipper lobsters,"Lobsters, crabs",Crustaceans,Crabs,,medium,inherited_mapping,"Slipper/spiny lobsters (Achelata) are not Brachyura, so this is not the same unambiguous taxonomic box as true crabs; the model has no separate lobster group and Sea Around Us's own commercial_group for these rows is 'Lobsters, crabs', so Crabs (the large-benthic-decapod catch-all) is the best-supported analogue. Ecological inference, not explicit or taxonomic membership."
Xiphias gladius,Swordfish,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Epinephelus coioides,Orange-spotted grouper,Large reef assoc. fish (>=90 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Grouper; ambush piscivorous predator, and reported trophic level (3.84-4.16) sits within the Piscivores band (3.571-3.940), a close corroborating match. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Gobiidae,Gobies,Small reef assoc. fish (<30 cm),Perch-likes,Benthivores,,medium,inherited_mapping,Small benthic goby feeding on small invertebrates; classic benthivore ecology and a trophic level (3.11) close to the Benthivores band.
Ariomma indica,Indian driftfish,Small benthopelagics (<30 cm),Perch-likes,Planktivores/piscivores,,medium,inherited_mapping,"Driftfish; small pelagic omnivore/planktivore with a niche similar to Psenopsis/Pampus, trophic level (3.63) fits the group's band."
Platycaranx talamparoides,Imposter trevally,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,medium,inherited_mapping,"Carangid jack; ecologically similar to the explicit Table S1 members Decapterus maruadsi and Trachurus japonicus (schooling, plankton- and small-fish-feeding pelagic predator), though this genus is not itself listed. Trophic level is broadly consistent with the group's band."
Decapterus russelli,Indian scad,Medium pelagics (30 - 89 cm),Perch-likes,Planktivores/piscivores,,high,inherited_mapping,Genus of the exact Table S1 member D. maruadsi.
Panulirus,Spiny lobsters,"Lobsters, crabs",Crustaceans,,,,,
Niphon spinosus,Ara,Medium demersals (30 - 89 cm),Perch-likes,Piscivores,,medium,inherited_mapping,"Grouper-like ambush piscivore (Niphonidae); very high reported trophic level (4.5) consistent with an apex fish-eating placement. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Chanos chanos,Milkfish,Large benthopelagics (>=90 cm),Other fishes & inverts,Unresolved,,unresolved,none,Milkfish; herbivorous/detritivorous grazer with a very low reported trophic level (2.03) that fits none of the model's consumer-fish guilds (all sit at trophic level 2.85 or above); no defensible group fit rather than a forced placement.
Istiompax indica,Black marlin,Large pelagics (>=90 cm),Tuna & billfishes,Piscivores,,medium,inherited_mapping,"Large highly-migratory oceanic tuna/billfish/cobia; obligate apex piscivores. Not an explicit Table S1 member (these taxa are only incidentally within the LME's Sea Around Us catch envelope), but Piscivores is the only fish-eating apex guild in the model and reported trophic levels (4.05-4.58) are consistent with, if somewhat above, the Piscivores band -- noted as a limitation given these are oceanic megafauna rather than the shelf-resident piscivores the group was built around. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Panulirus longipes,Longlegged spiny lobster,"Lobsters, crabs",Crustaceans,Crabs,,medium,inherited_mapping,"Slipper/spiny lobsters (Achelata) are not Brachyura, so this is not the same unambiguous taxonomic box as true crabs; the model has no separate lobster group and Sea Around Us's own commercial_group for these rows is 'Lobsters, crabs', so Crabs (the large-benthic-decapod catch-all) is the best-supported analogue. Ecological inference, not explicit or taxonomic membership."
Sillaginidae,Smelt-whitings,Medium demersals (30 - 89 cm),Perch-likes,Benthivores,,medium,inherited_mapping,"Whiting/sillaginid; sand-dwelling benthic-invertebrate feeder, ecology consistent with Benthivores."
Lateolabracidae,Asian seaperches,Large demersals (>=90 cm),Perch-likes,Benthivores/piscivores,,medium,inherited_mapping,"Japanese seabass; estuarine ambush predator on both benthic crustaceans and small fish, trophic level (3.36-3.78) fits this mixed-diet guild."
Ammodytes,Sand eels,Large reef assoc. fish (>=90 cm),Perch-likes,Planktivores,,medium,inherited_mapping,"Small schooling zooplanktivorous pelagic (round herring / sandlance); not an explicit Table S1 member, but ecology and reported trophic level are consistent with this guild. The paper states diet-matrix values (not group membership) were revised between M1997 and M2018 for this guild; the same species roster is applied to both models since Supplementary Table S1 is presented as a single, undated group list."
Cypselurus,Cypselurid flyingfishes,Small pelagics (<30 cm),Other fishes & inverts,Omnivores,,medium,inherited_mapping,"Flying fish; surface feeder on zooplankton with some omnivorous tendency, trophic level (3.4-3.7) fits the Omnivores band."
